Sample ID,mL Filt ,L Filt,ug Chl a,ug phaeophytin,ug/L Chl a,ug/L phaeo,Dilution Factor,Corrected  for Dilution ug/L Chl a,Corrected for Dilution ug/L phaeo
T6 291,180,0.18,5.358453211,1.058891789,0.297691845,0.058827322,1,0.297691845,0.058827322
T5 317,180,0.18,-0.06826055,1.64934555,-0.003792253,0.091630308,1,-0.003792253,0.091630308
T3 451,180,0.18,5.051280734,0.956842266,0.280626707,0.053157904,1,0.280626707,0.053157904
T3 452,180,0.18,1.757709174,0.846430826,0.09765051,0.047023935,1,0.09765051,0.047023935
T6 267,180,0.18,3.617809174,0.623218826,0.200989399,0.034623268,1,0.200989399,0.034623268
T3 353,180,0.18,3.549548624,2.867796376,0.197197146,0.159322021,1,0.197197146,0.159322021
T3 450,180,0.18,2.167272477,0.901892523,0.120404027,0.05010514,1,0.120404027,0.05010514
T6 671,180,0.18,3.157050459,0.563149541,0.175391692,0.031286086,1,0.175391692,0.031286086
T3 052,180,0.18,2.798682569,1.181931431,0.155482365,0.065662857,1,0.155482365,0.065662857
T1 594,180,0.18,0.912984862,0.156572638,0.050721381,0.00869848,1,0.050721381,0.00869848
T1 013,180,0.18,21.33142202,4.895987982,1.185079001,0.271999332,1,1.185079001,0.271999332
T1 017,180,0.18,0.802061468,0.872028532,0.04455897,0.04844603,1,0.04455897,0.04844603
T2 231,180,0.18,1.211624771,0.760081229,0.067312487,0.042226735,1,0.067312487,0.042226735
T2 430,180,0.18,1.213331284,0.347292616,0.067407294,0.019294034,1,0.067407294,0.019294034
T1 412,180,0.18,1.638253211,0.612467789,0.091014067,0.034025988,1,0.091014067,0.034025988
T2 228,180,0.18,0.104097339,1.095667161,0.005783186,0.060870398,1,0.005783186,0.060870398
T2 O36,180,0.18,2.832812844,0.106145156,0.157378491,0.005896953,1,0.157378491,0.005896953
T6 081,180,0.18,2.894247339,-1.621938939,0.160791519,-0.090107719,1,0.160791519,-0.090107719
T5 324,180,0.18,1.160429358,0.718271642,0.064468298,0.03990398,1,0.064468298,0.03990398
T3 254,180,0.18,1.081929725,0.454512875,0.060107207,0.025250715,1,0.060107207,0.025250715
T3 634,180,0.18,0.609225413,0.376627587,0.033845856,0.020923755,1,0.033845856,0.020923755
T5 050,180,0.18,2.047816514,1.709585486,0.113767584,0.094976971,1,0.113767584,0.094976971
T1 410,180,0.18,0.907865321,0.725302479,0.050436962,0.040294582,1,0.050436962,0.040294582
T5 327,180,0.18,0.278161743,0.637007457,0.01545343,0.035389303,1,0.01545343,0.035389303
T2 329,180,0.18,1.194559633,0.274919367,0.066364424,0.015273298,1,0.066364424,0.015273298
T3 343,180,0.18,4.385740367,1.361968633,0.243652243,0.075664924,1,0.243652243,0.075664924
T2 039,180,0.18,1.331080734,0.938241266,0.07394893,0.052124515,1,0.07394893,0.052124515
T1 016,180,0.18,0.972712844,0.905988156,0.054039602,0.050332675,1,0.054039602,0.050332675
T3 632,180,0.18,0.790115872,1.027201828,0.043895326,0.057066768,1,0.043895326,0.057066768
T3 633,180,0.18,0.892506697,0.459786003,0.049583705,0.025543667,1,0.049583705,0.025543667
T2 037,180,0.18,2.133142202,0.843017798,0.1185079,0.046834322,1,0.1185079,0.046834322
T2 321,180,0.18,0.31741156,0.59031724,0.017633976,0.032795402,1,0.017633976,0.032795402
T5 080,180,0.18,0.863495963,0.855236437,0.047971998,0.047513135,1,0.047971998,0.047513135
T1 301,180,0.18,0.383965596,0.564685404,0.021331422,0.031371411,1,0.021331422,0.031371411
T2 227,180,0.18,1.005136606,0.298793494,0.055840923,0.016599639,1,0.055840923,0.016599639
T1 592,180,0.18,0.959060734,0.320688066,0.053281152,0.017816004,1,0.053281152,0.017816004
T2 233,180,0.18,1.382276147,0.849843853,0.076793119,0.047213547,1,0.076793119,0.047213547
T2 611,180,0.18,0.327650642,0.161555658,0.018202813,0.008975314,1,0.018202813,0.008975314
T3 056,160,0.16,3.703,1.319,0.231,0.082,1,0.231,0.082
T1 304,180,0.18,0.110923394,0.199713306,0.006162411,0.011095184,1,0.006162411,0.011095184
T3 351,180,0.18,3.583678899,1.326985101,0.199093272,0.073721394,1,0.199093272,0.073721394
T3 060,180,0.18,1.262820183,3.480434817,0.070156677,0.19335749,1,0.070156677,0.19335749
T6 083,180,0.18,1.8601,1.357873,0.103338889,0.075437389,1,0.103338889,0.075437389
T5 318,180,0.18,1.058038532,0.318435468,0.058779918,0.017690859,1,0.058779918,0.017690859
T6 288,180,0.18,3.7202,0.948651,0.206677778,0.052702833,1,0.206677778,0.052702833
T6 675,180,0.18,5.460844037,0.993702963,0.303380224,0.05520572,1,0.303380224,0.05520572
T1 012,120,0.12,0.200,0.130,0.017,0.011,1,0.017,0.011
T3 454,180,0.18,1.587057798,0.756668202,0.088169878,0.042037122,1,0.088169878,0.042037122
T1 212,180,0.18,0.551203945,0.382566255,0.030622441,0.021253681,1,0.030622441,0.021253681
T6 494,180,0.18,1.296950459,0.600351541,0.072052803,0.033352863,1,0.072052803,0.033352863
T1 014,120,0.12,0.674,0.712,0.056,0.059,1,0.056,0.059
T5 434,180,0.18,1.587057798,0.589259202,0.088169878,0.032736622,1,0.088169878,0.032736622
T3 305,180,0.18,20.99011927,8.771480734,1.166117737,0.487304485,1,1.166117737,0.487304485
T1 411,180,0.18,1.774774312,0.829365688,0.098598573,0.046075872,1,0.098598573,0.046075872
T6 672,180,0.18,3.549548624,0.728681376,0.197197146,0.040482299,1,0.197197146,0.040482299
T5 471,180,0.18,0.267922661,0.420314339,0.014884592,0.023350797,1,0.014884592,0.023350797
T6 674,180,0.18,3.7202,0.874247,0.206677778,0.048569278,1,0.206677778,0.048569278
T3 049,180,0.18,3.634874312,0.829365688,0.201937462,0.046075872,1,0.201937462,0.046075872
T3 631,180,0.18,0.665540367,0.413317633,0.036974465,0.022962091,1,0.036974465,0.022962091
T2 234,180,0.18,1.109233945,0.806669055,0.061624108,0.044814948,1,0.061624108,0.044814948
T6 082,180,0.18,1.296950459,0.767760541,0.072052803,0.042653363,1,0.072052803,0.042653363
T1 214,180,0.18,1.008549633,0.273059267,0.056030535,0.015169959,1,0.056030535,0.015169959
T6 290,180,0.18,1.979555963,0.271165037,0.109975331,0.015064724,1,0.109975331,0.015064724
T1 211,180,0.18,18.08392633,-16.66467003,1.004662574,-0.925815002,1,1.004662574,-0.925815002
DI 2,150,0.15,12.628,7.647,0.842,0.510,1,0.842,0.510
T3 336,180,0.18,3.395962385,1.272888615,0.188664577,0.070716034,1,0.188664577,0.070716034
T6 287,180,0.18,4.061502752,0.904964248,0.225639042,0.050275792,1,0.225639042,0.050275792
T5 271,180,0.18,7.08203211,-1.07390911,0.393446228,-0.059661617,1,0.393446228,-0.059661617
T1 213,180,0.18,0.06826055,2.14525845,0.003792253,0.119181025,1,0.003792253,0.119181025
T3 251,180,0.18,0.580214679,0.368436321,0.032234149,0.020468685,1,0.032234149,0.020468685
T1 595,180,0.18,1.095581835,0.332974965,0.060865657,0.018498609,1,0.060865657,0.018498609
T3 253,180,0.18,0.513660642,0.284322258,0.028536702,0.015795681,1,0.028536702,0.015795681
T1 307,180,0.18,0.921517431,2.184849569,0.051195413,0.121380532,1,0.051195413,0.121380532
T2 229,180,0.18,1.259407156,0.463045444,0.069967064,0.025724747,1,0.069967064,0.025724747
DI 1,150,0.15,9.727,14.268,0.648,0.951,1,0.648,0.951
T3 252,180,0.18,1.092168807,0.507517193,0.060676045,0.0281954,1,0.060676045,0.0281954
T2 431,180,0.18,2.508575229,1.100018771,0.139365291,0.061112154,1,0.139365291,0.061112154
T1 591,180,0.18,1.259407156,0.399802044,0.069967064,0.022211225,1,0.069967064,0.022211225
T2 322,180,0.18,0.981245413,0.292923087,0.054513634,0.016273505,1,0.054513634,0.016273505
T1 593,180,0.18,1.146777248,0.374784552,0.063709847,0.020821364,1,0.063709847,0.020821364
T2 230,180,0.18,2.389119266,0.605641734,0.132728848,0.033646763,1,0.132728848,0.033646763
T5 470,180,0.18,0.163825321,0.068687179,0.009101407,0.003815954,1,0.009101407,0.003815954
T2 432,180,0.18,2.542705505,0.675267495,0.141261417,0.037514861,1,0.141261417,0.037514861
T2 232,180,0.18,1.825969725,0.592160275,0.101442762,0.032897793,1,0.101442762,0.032897793
T6 289,180,0.18,3.191180734,0.715029266,0.177287819,0.039723848,1,0.177287819,0.039723848
T3 338,180,0.18,5.409648624,1.733135376,0.300536035,0.096285299,1,0.300536035,0.096285299
T2 334,180,0.18,0.774757248,0.445468352,0.043042069,0.024748242,1,0.043042069,0.024748242
T1 413,180,0.18,1.723578899,0.824758101,0.095754383,0.045819894,1,0.095754383,0.045819894
T1 306,180,0.18,0.337889725,0.363367975,0.018771651,0.02018711,1,0.018771651,0.02018711
T3 255,180,0.18,1.145070734,0.527159166,0.063615041,0.02928662,1,0.063615041,0.02928662
T2 613,180,0.18,2.269663303,0.818102697,0.126092406,0.04545015,1,0.126092406,0.04545015
T2 331,180,0.18,0.494888991,0.230550009,0.027493833,0.012808334,1,0.027493833,0.012808334
T2 433,180,0.18,1.92836055,0.47116845,0.107131142,0.026176025,1,0.107131142,0.026176025
T2 040,180,0.18,1.07510367,2.42188433,0.059727982,0.134549129,1,0.059727982,0.134549129
T1 314,180,0.18,0.107510367,0.543524633,0.005972798,0.030195813,1,0.005972798,0.030195813
T2 038,180,0.18,0.665540367,0.710933633,0.036974465,0.039496313,1,0.036974465,0.039496313
T2 615,180,0.18,0.522193211,0.247888189,0.029010734,0.013771566,1,0.029010734,0.013771566
T2 612,180,0.18,0.788409358,0.379733442,0.04380052,0.021096302,1,0.04380052,0.021096302
T6 490,180,0.18,0.430041468,0.260055632,0.023891193,0.014447535,1,0.023891193,0.014447535