date,transect,sampleID,[NH4]
Jan-24,T1,2,0.360
Jan-24,T1,3,0.607
Jan-24,T1,8,1.416
Jan-24,T1,15,0.506
Jan-24,T1,18,0.567
Jan-24,T2,23,0.506
Jan-24,T2,24,0.326
Jan-24,T2,27,1.904
Jan-24,T2,31,0.197
Jan-24,T2,33,0.393
Jan-24,T3,43,0.275
Jan-24,T3,44,0.343
Jan-24,T3,47,0.331
Jan-24,T3,53,0.933
Jan-24,T3,57,0.702
Jan-24,T5,62,1.680
Jan-24,T5,64,0.270
Jan-24,T5,70,8.815
May-24,T1,199,0.360
May-24,T1,202,0.253
May-24,T1,205,0.039
May-24,T1,209,0.225
May-24,T1,226,0.270
May-24,T2,216,2.556
May-24,T2,221,0.152
May-24,T2,222,0.410
May-24,T2,224,0.202
May-24,T3,197,0.461
May-24,T3,237,0.264
May-24,T3,243,0.281
May-24,T3,247,0.489
May-24,T3,249,0.022
May-24,T5,261,0.174
May-24,T5,264,0.219
May-24,T5,266,0.230
May-24,T5,267,0.213
May-24,T5,268,0.258
May-24,T5,269,1.652
May-24,T6,272,0.242
May-24,T6,282,0.169
May-24,T6,283,0.219
May-24,T6,284,0.118
May-24,T6,293,3.275
Jun-24,T1,308,1.461
Jun-24,T1,311,0.039
Jun-24,T1,313,0.039
Jun-24,T2,328,0.096
Jun-24,T2,330,0.213
Jun-24,T2,332,0.056
Jun-24,T2,333,0.208
Jun-24,T3,337,0.213
Jun-24,T3,339,0.191
Jun-24,T3,341,0.039
Jun-24,T3,349,0.309
Jun-24,T3,352,0.017
Jun-24,T5,316,0.292
Jun-24,T5,319,0.652
Jun-24,T5,320,0.197
Jun-24,T5,325,0.124
Aug-24,T1,409,0.579
Aug-24,T1,405,0.000
Aug-24,T1,397,0.000
Aug-24,T2,416,0.000
Aug-24,T2,422,3.370
Aug-24,T3,445,0.000
Aug-24,T3,441,0.000
Aug-24,T3,439,3.144
Aug-24,T3,438,1.110
Aug-24,T1,403,1.044
Aug-24,T2,415,0.000
Aug-24,T2,428,7.724
Aug-24,T5,457,1.110
Aug-24,T5,459,0.000
Aug-24,T5,462,0.420
Aug-24,T5,463,2.823
Aug-24,T6,447,7.343
Aug-24,T6,444,0.724
Aug-24,T6,455,2.376
Aug-24,T6,487,15.713
Jun-25,T1,93,0.000
Jun-25,T1,576,0.000
Jun-25,T1,579,0.000
Jun-25,T1,586,0.000
Jun-25,T1,587,0.050
Jun-25,T1,588,0.011
Jun-25,T2,598,0.022
Jun-25,T2,599,0.000
Jun-25,T2,608,0.000
Jun-25,T2,610,0.039
Jun-25,T3,616,0.265
Jun-25,T3,620,0.105
Jun-25,T3,621,0.050
Jun-25,T3,625,0.033
Jun-25,T3,626,0.077
Jun-25,T5,636,0.033
Jun-25,T5,640,0.160
Jun-25,T5,641,0.000
Jun-25,T5,642,0.149
Jun-25,T5,646,0.326
Jun-25,T6,657,0.177
Jun-25,T6,658,0.232
Jun-25,T6,660,0.000
Jun-25,T6,667,0.061
Jun-25,T6,668,0.039