Date,T,Sample,Rack position,Cup Number,Sample ID,Analyte Name,Determined Conc.,Conc x ADF
,,,,S10,20NO2,PO4,,0
,,,,S2,20N/8P,PO4,,0
,,,,S1,30N/12P,PO4,0,12
,,,,S1,30N/12P,PO4,0,12
,,,,S2,20N/8P,PO4,0,8
,,,,S2,20N/8P,PO4,0,8
,,,,S3,10N/4P,PO4,0,4
,,,,S3,10N/4P,PO4,0,4
,,,,S10,20NO2,PO4,,-0.228
,,,,S2,20N/8P,PO4,,8
,,,,S4,5N/2P,PO4,2.000377,2
,,,,S4,5N/2P,PO4,2.030533,2
,,,,S5,2N/0.8P,PO4,0.836683,0.8
,,,,S5,2N/0.8P,PO4,0.8191226,0.8
,,,,S6,1N/0.4P,PO4,0.4055843,0.4
,,,,S6,1N/0.4P,PO4,0.4136851,0.4
,,,,S7,0.5N/0.2P,PO4,0.1957225,0.2
,,,,S7,0.5N/0.2P,PO4,0.1739252,0.2
,,,,S8,0.25N/0.1P,PO4,9.95E-02,0.1
,,,,S8,0.25N/0.1P,PO4,6.01E-02,0.1
,,,,S9,Saline,PO4,-5.33E-02,0
,,,,S9,Saline,PO4,-0.0432615,0
,,,,S9,saline,PO4,,-0.0779
,,,,S9,saline,PO4,,-0.0615
,,,,S9,saline,PO4,,-0.0854
,,,,S9,saline,PO4,,-0.0468
,,,,S9,saline,PO4,,-0.051
,,,,S9,saline,PO4,,-0.0266
,,,,S10,20NO2,PO4,,-0.0792
,,,,S2,20N/8P,PO4,,7.94
,,,,S9,saline,PO4,,0.0173
,,,,S9,saline,PO4,,-0.0167
,,,,S9,saline,PO4,,-0.00703
,,,,S9,saline,PO4,,0.00337
,,,,S10,20NO2,PO4,,-0.0746
,,,,S2,20N/8P,PO4,,7.97
Jan-24,T1,2,1,1,Sample 001,PO4,,0.0443
Jan-24,T1,3,2,2,Sample 002,PO4,,0.0507
Jan-24,T1,8,3,3,Sample 003,PO4,,0.0762
Jan-24,T1,15,4,4,Sample 004,PO4,,0.0852
Jan-24,T1,18,5,5,Sample 005,PO4,,0.0656
Jan-24,T2,23,6,6,Sample 006,PO4,,0.0437
Jan-24,T2,24,7,7,Sample 007,PO4,,0.113
Jan-24,T2,27,8,8,Sample 008,PO4,,0.123
Jan-24,T2,31,9,9,Sample 009,PO4,,0.0117
Jan-24,T2,33,10,10,Sample 010,PO4,,0.0138
Jan-24,T3,43,11,11,Sample 011,PO4,,0.0333
Jan-24,T3,44,12,12,Sample 012,PO4,,0.0253
Jan-24,T3,47,13,13,Sample 013,PO4,,-0.0197
Jan-24,T3,53,14,14,Sample 014,PO4,,0.0544
Jan-24,T3,57,15,15,Sample 015,PO4,,0.0104
Jan-24,T5,62,16,16,Sample 016,PO4,,0.117
Jan-24,T5,64,17,17,Sample 017,PO4,,0.0124
Jan-24,T5,70,18,18,Sample 018,PO4,,0.0161
May-24,T1,199,19,19,Sample 019,PO4,,0.0956
May-24,T1,202,20,20,Sample 020,PO4,,0.0183
,,,,S4,5N/2P,PO4,,1.96
,,,,S9,Saline,PO4,,0.00925
,,,,S10,20NO2,PO4,,-0.0689
,,,,S2,20N/8P,PO4,,7.93
May-24,T1,205,21,21,Sample 021,PO4,,0.0241
May-24,T1,209,22,22,Sample 022,PO4,,0.00851
May-24,T1,226,23,23,Sample 023,PO4,,0.0123
May-24,T2,216,24,24,Sample 024,PO4,,0.0313
May-24,T2,221,25,25,Sample 025,PO4,,0.0114
May-24,T2,222,26,26,Sample 026,PO4,,-0.0192
May-24,T2,224,27,27,Sample 027,PO4,,0.00869
May-24,T3,197,28,28,Sample 028,PO4,,0.0581
May-24,T3,237,29,29,Sample 029,PO4,,0.0115
May-24,T3,243,30,30,Sample 030,PO4,,-0.0177
May-24,T3,247,31,31,Sample 031,PO4,,0.0703
May-24,T3,249,32,32,Sample 032,PO4,,0.0587
May-24,T5,261,33,33,Sample 033,PO4,,-0.00208
May-24,T5,264,34,34,Sample 034,PO4,,0.0392
May-24,T5,266,35,35,Sample 035,PO4,,0.00539
May-24,T5,267,36,36,Sample 036,PO4,,0.0218
May-24,T5,268,37,37,Sample 037,PO4,,0.0279
May-24,T5,269,38,38,Sample 038,PO4,,0.0432
May-24,T6,272,39,39,Sample 039,PO4,,0.0078
May-24,T6,282,40,40,Sample 040,PO4,,0.0441
,,,,S10,20NO2,PO4,,-0.0405
,,,,S2,20N/8P,PO4,,7.97
,,,,S9,Saline,PO4,,0.0117
May-24,T6,283,41,41,Sample 041,PO4,,0.0324
May-24,T6,284,42,42,Sample 042,PO4,,0.0181
May-24,T6,293,43,43,Sample 043,PO4,,0.0897
Jun-24,T1,299,44,44,Sample 044,PO4,,0.103
Jun-24,T1,308,45,45,Sample 045,PO4,,0.228
Jun-24,T1,310,46,46,Sample 046,PO4,,0.107
Jun-24,T1,311,47,47,Sample 047,PO4,,0.0398
Jun-24,T1,313,48,48,Sample 048,PO4,,0.0287
Jun-24,T2,328,49,49,Sample 049,PO4,,0.0888
Jun-24,T2,330,50,50,Sample 050,PO4,,0.139
Jun-24,T2,332,51,51,Sample 051,PO4,,0.135
Jun-24,T2,333,52,52,Sample 052,PO4,,0.085
Jun-24,T3,337,53,53,Sample 053,PO4,,0.0323
Jun-24,T3,339,54,54,Sample 054,PO4,,0.176
Jun-24,T3,341,55,55,Sample 055,PO4,,0.0279
Jun-24,T3,349,56,56,Sample 056,PO4,,0.164
Jun-24,T3,352,57,57,Sample 057,PO4,,0.0988
Jun-24,T5,316,58,58,Sample 058,PO4,,0.203
Jun-24,T5,319,59,59,Sample 059,PO4,,0.0338
,,,,S10,20NO2,PO4,,-0.0203
,,,,S2,20N/8P,PO4,,7.98
,,,,S9,Saline,PO4,,0.0335
Jun-24,T5,320,60,60,Sample 060,PO4,,0.066
Jun-24,T5,325,61,61,Sample 061,PO4,,0.0155
Aug-24,T1,409,62,62,Sample 062,PO4,,0.0285
Aug-24,T1,405,63,63,Sample 063,PO4,,0.0731
Aug-24,T1,397,64,64,Sample 064,PO4,,0.0441
Aug-24,T2,416,65,65,Sample 065,PO4,,0.0465
Aug-24,T2,422,66,66,Sample 066,PO4,,0.0815
Aug-24,T3,445,67,67,Sample 067,PO4,,0.0449
Aug-24,T3,449,68,68,Sample 068,PO4,,0.0634
Aug-24,T3,441,69,69,Sample 069,PO4,,0.0134
Aug-24,T3,439,70,70,Sample 070,PO4,,0.0609
Aug-24,T3,438,71,71,Sample 071,PO4,,0.2
Aug-24,T1,403,72,72,Sample 072,PO4,,0.0478
Aug-24,T2,415,73,73,Sample 073,PO4,,0.0771
Aug-24,T2,428,74,74,Sample 074,PO4,,0.143
Aug-24,T5,457,75,75,Sample 075,PO4,,0.0699
Aug-24,T5,459,76,76,Sample 076,PO4,,0.109
Aug-24,T5,462,77,77,Sample 077,PO4,,0.0471
Aug-24,T5,463,78,78,Sample 078,PO4,,0.0919
Aug-24,T6,447,79,79,Sample 079,PO4,,0.0477
Aug-24,T6,444,80,80,Sample 080,PO4,,0.0174
,,,,S10,20NO2,PO4,,-0.0427
,,,,S2,20N/8P,PO4,,8
,,,,S9,Saline,PO4,,0.00951
Aug-24,T6,455,81,81,Sample 081,PO4,,0.175
Jun-25,T1,93,82,82,Sample 082,PO4,,0.371
Jun-25,T1,576,83,83,Sample 083,PO4,,0.0487
Jun-25,T1,579,84,84,Sample 084,PO4,,0.0371
Jun-25,T1,586,85,85,Sample 085,PO4,,0.0135
Jun-25,T1,587,86,86,Sample 086,PO4,,0.0611
Jun-25,T1,588,87,87,Sample 087,PO4,,0.0253
Jun-25,T2,598,88,88,Sample 088,PO4,,0.0655
Jun-25,T2,599,89,89,Sample 089,PO4,,0.01
Jun-25,T2,608,90,90,Sample 090,PO4,,0.0266
Jun-25,T2,610,1,91,Sample 091,PO4,,-0.00342
Jun-25,T3,616,2,92,Sample 092,PO4,,0.0404
Jun-25,T3,620,3,93,Sample 093,PO4,,0.0434
Jun-25,T3,621,4,94,Sample 094,PO4,,0.0233
Jun-25,T3,625,5,95,Sample 095,PO4,,0.086
Jun-25,T3,626,6,96,Sample 096,PO4,,0.0768
Jun-25,T5,636,7,97,Sample 097,PO4,,0.0189
Jun-25,T5,640,8,98,Sample 098,PO4,,0.0678
Jun-25,T5,641,9,99,Sample 099,PO4,,0.0398
,,,,S10,20NO2,PO4,,-0.00927
,,,,S2,20N/8P,PO4,,7.97
,,,,S9,Saline,PO4,,0.0162
Jun-25,T5,642,10,100,Sample 100,PO4,,0.0376
Jun-25,T5,646,11,101,Sample 101,PO4,,0.0377
Jun-25,T6,657,12,102,Sample 102,PO4,,0.0863
Jun-25,T6,658,13,103,Sample 103,PO4,,0.00471
Jun-25,T6,660,14,104,Sample 104,PO4,,0.165
Jun-25,T6,667,15,105,Sample 105,PO4,,0.0454
Jun-25,T6,668,16,106,Sample 106,PO4,,0.00604
Aug-24,T6,487,17,107,Sample 107,PO4,,0.0731
,,,,S10,20NO2,PO4,,-0.0241
,,,,S2,20N/8P,PO4,,7.97
,,,,S9,Saline,PO4,,0.0334