Date,T,Sample,Rack position,Rack# lachat,nh4 rack,nh4 col,nh4 #,
01/2024,T1,2,1,1,1,A,1,
01/2024,T1,3,2,1,,A,2,
01/2024,T1,8,3,1,,A,3,
01/2024,T1,15,4,1,,A,4,
01/2024,T1,18,5,1,,A,5,
01/2024,T2,23,6,1,,A,6,
01/2024,T2,24,7,1,,A,7,
01/2024,T2,27,8,1,,A,8,
01/2024,T2,31,9,1,,A,9,
01/2024,T2,33,10,1,,A,10,
01/2024,T3,43,11,1,,A,11,
01/2024,T3,44,12,1,,A,12,
01/2024,T3,47,13,1,,B,1,
01/2024,T3,53,14,1,,,2,
01/2024,T3,57,15,1,,,3,
01/2024,T5,62,16,1,,,4,
01/2024,T5,64,17,1,,,5,
01/2024,T5,70,18,1,,,6,
05/2024,T1,199,19,1,,,7,
05/2024,T1,202,20,1,,,8,
05/2024,T1,205,21,1,,,9,
05/2024,T1,209,22,1,,,10,
05/2024,T1,226,23,1,,,11,
05/2024,T2,216,24,1,,,12,
05/2024,T2,221,25,1,,C,1,
05/2024,T2,222,26,1,,,2,
05/2024,T2,224,27,1,,,3,
05/2024,T3,197,28,1,,,4,
05/2024,T3,237,29,1,,,5,
05/2024,T3,243,30,1,,,6,
05/2024,T3,247,31,1,,,7,
05/2024,T3,249,32,1,,,8,
05/2024,T5,261,33,1,,,9,
05/2024,T5,264,34,1,,,10,
05/2024,T5,266,35,1,,,11,
05/2024,T5,267,36,1,,,12,
05/2024,T5,268,37,1,,D,1,
05/2024,T5,269,38,1,,,2,
05/2024,T6,272,39,1,,,3,
05/2024,T6,282,40,1,,,4,
05/2024,T6,283,41,1,,,5,
05/2024,T6,284,42,1,,,6,
05/2024,T6,293,43,1,,,7,
06/2024,T1,299,44,1,,,NA,EXCLUDE NH4 NOT ENOUGH SAMPLE
06/2024,T1,308,45,1,,,8,
06/2024,T1,310,46,1,,,NA,EXCLUDE NH4 NOT ENOUGH SAMPLE
06/2024,T1,311,47,1,,,9,
06/2024,T1,313,48,1,,,10,
06/2024,T2,328,49,1,,,11,
06/2024,T2,330,50,1,,,12,
06/2024,T2,332,51,1,,E,1,
06/2024,T2,333,52,1,,,2,
06/2024,T3,337,53,1,,,3,
06/2024,T3,339,54,1,,,4,
06/2024,T3,341,55,1,,,5,
06/2024,T3,349,56,1,,,6,
06/2024,T3,352,57,1,,,7,
06/2024,T5,316,58,1,,,8,
06/2024,T5,319,59,1,,,9,
06/2024,T5,320,60,1,,,10,
06/2024,T5,325,61,1,,,11,
08/2024,T1,409,62,1,,,12,
08/2024,T1,405,63,1,2,A,1,
08/2024,T1,397,64,1,,,2,
08/2024,T2,416,65,1,,,3,
08/2024,T2,422,66,1,,,4,
08/2024,T3,445,67,1,,,5,
08/2024,T3,449,68,1,,,NA,NOT ENOUGH SAMPLE FOR NH4
08/2024,T3,441,69,1,,,6,
08/2024,T3,439,70,1,,,7,
08/2024,T3,438,71,1,,,8,
08/2024,T1,403,72,1,,,9,
08/2024,T2,415,73,1,,,10,
08/2024,T2,428,74,1,,,11,
08/2024,T5,457,75,1,,,12,
08/2024,T5,459,76,1,,B,1,
08/2024,T5,462,77,1,,,2,
08/2024,T5,463,78,1,,,3,
08/2024,T6,447,79,1,,,4,
08/2024,T6,444,80,1,,,5,
08/2024,T6,455,81,1,,,6,
06/2025,T1,93,82,1,blank ,,7,
06/2025,T1,576,83,1,,,8,
06/2025,T1,579,84,1,,,9,
06/2025,T1,586,85,1,,,10,
06/2025,T1,587,86,1,,,11,
06/2025,T1,588,87,1,,,12,
06/2025,T2,598,88,1,,C,1,
06/2025,T2,599,89,1,,,2,
06/2025,T2,608,90,1,,,3,
06/2025,T2,610,1,2,,,4,
06/2025,T3,616,2,2,,,5,
06/2025,T3,620,3,2,,,6,
06/2025,T3,621,4,2,,,7,
06/2025,T3,625,5,2,,,8,
06/2025,T3,626,6,2,,,9,
06/2025,T5,636,7,2,,,10,
06/2025,T5,640,8,2,,,11,
06/2025,T5,641,9,2,,,12,
06/2025,T5,642,10,2,,D,1,
06/2025,T5,646,11,2,,,2,
06/2025,T6,657,12,2,,,3,
06/2025,T6,658,13,2,,,4,
06/2025,T6,660,14,2,,,5,
06/2025,T6,667,15,2,,,6,
06/2025,T6,668,16,2,,,7,
08/2024,T6,487,17,2,,,8,